timestamp,status,iou,h_det,h_gt,l_det,l_gt,score,type_det,type_gt,w_det,w_gt,x_det,x_gt,y_det,y_gt,z_det,z_gt
22462.816,fp,0.0,1.39772367477417,,3.0847156047821045,,1.0,Car,,1.5175439119338991,,8.796191652150988,,-1.9235707954172017,,-0.8043076790000239,
22462.866,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.866,fp,0.0,1.401848554611206,,3.169418334960937,,1.0,Car,,1.5479137897491455,,9.000986311285383,,-1.967983506025874,,-0.8315334977019813,
22462.916,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.916,fp,0.0,1.4050546884536743,,3.1674766540527344,,1.0,Car,,1.5429352521896362,,8.362052386092133,,-1.8072547641871437,,-0.7769027943346618,
22462.966,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22462.966,fp,0.0,1.394697904586792,,3.1119747161865234,,1.0,Car,,1.5232422351837158,,8.53426473349376,,-1.8588640503307357,,-0.8090923897992557,
22463.016,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.016,fp,0.0,1.4105483293533323,,3.2129514217376713,,1.0,Car,,1.532315731048584,,9.020435045319038,,-1.963563613514448,,-0.8281217704745263,
22463.066,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.066,fp,0.0,1.4193000793457031,,3.3270962238311768,,1.0,Car,,1.5487481355667114,,8.85748836101287,,-1.925163731069546,,-0.817554281812086,
22463.116,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.116,fp,0.0,1.4218615293502808,,3.2956483364105225,,1.0,Car,,1.548234939575195,,8.821907131305121,,-1.918142993612718,,-0.8119746819895468,
22463.166,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.166,fp,0.0,1.39704692363739,,3.116093873977661,,1.0,Car,,1.5252435207366943,,8.616844930237178,,-1.8786223366529025,,-0.7749977054184178,
22463.216,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.216,fp,0.0,1.4121841192245483,,3.179297924041748,,1.0,Car,,1.5442482233047483,,8.864610537028202,,-1.9345342213188013,,-0.812750402590197,
22463.266,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.266,fp,0.0,1.4001635313034058,,3.115331649780273,,1.0,Car,,1.5385736227035522,,8.640235408173742,,-1.876820922573522,,-0.7768702548896638,
22463.316,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.316,fp,0.0,1.4075604677200315,,3.15474796295166,,1.0,Car,,1.5349366664886477,,8.638472119683064,,-1.8815635170311584,,-0.7776928868275448,
22463.366,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.366,fp,0.0,1.415906310081482,,3.2267436981201167,,1.0,Car,,1.5384609699249268,,9.2796288664793,,-2.025472942873156,,-0.8505482497502097,
22463.416,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.416,fp,0.0,1.4368028640747068,,3.327087879180908,,1.0,Car,,1.5513836145401,,8.878224313630508,,-1.9225795529919611,,-0.8180721174216288,
22463.466,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.466,fp,0.0,1.4122198820114136,,3.2676825523376465,,1.0,Car,,1.5429012775421145,,8.59283476218717,,-1.864612377269836,,-0.7772857568715654,
22463.516,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.516,fp,0.0,1.3992067575454712,,3.147110939025879,,1.0,Car,,1.5333110094070437,,8.912515515992455,,-1.9482242199626656,,-0.8161711580696059,
22463.566,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
22463.566,fp,0.0,1.4234563112258911,,3.2468514442443848,,1.0,Car,,1.5516393184661863,,8.890786857361944,,-1.937189078508305,,-0.8159162624598492,
22463.616,fn,0.0,,1.47383117676,,4.19283008575,0.0,,Car,,1.8161858320200002,,13.240838864,,-2.93546515746,,0.0120609893783
